data_structure,time,D,k,N
bucketKNN,3767819,3,100,10000
bucketKNN,1513317,3,1,100000
bucketKNN,3041037,3,2,100000
bucketKNN,4582326,3,5,100000
bucketKNN,6148366,3,10,100000
bucketKNN,7764258,3,20,100000
bucketKNN,9500921,3,50,100000
bucketKNN,11438835,3,100,100000
bucketKNN,12815,4,1,100
bucketKNN,26546,4,2,100
bucketKNN,44693,4,5,100
bucketKNN,68540,4,10,100
bucketKNN,103538,4,20,100
bucketKNN,159324,4,50,100
bucketKNN,226738,4,100,100
bucketKNN,104839,4,1,1000
bucketKNN,210441,4,2,1000
bucketKNN,323569,4,5,1000
bucketKNN,446374,4,10,1000
bucketKNN,592763,4,20,1000
bucketKNN,803530,4,50,1000
bucketKNN,1111369,4,100,1000
bucketKNN,807517,4,1,10000
bucketKNN,1618936,4,2,10000
bucketKNN,2452946,4,5,10000
bucketKNN,3317827,4,10,10000
bucketKNN,4239343,4,20,10000
bucketKNN,5314040,4,50,10000
bucketKNN,6621753,4,100,10000
bucketKNN,4170012,4,1,100000
bucketKNN,8383188,4,2,100000
bucketKNN,12590406,4,5,100000
bucketKNN,16865291,4,10,100000
bucketKNN,21185297,4,20,100000
bucketKNN,25741340,4,50,100000
bucketKNN,30623444,4,100,100000
bucketKNN,11610,5,1,100
bucketKNN,23668,5,2,100
bucketKNN,40506,5,5,100
bucketKNN,64074,5,10,100
bucketKNN,99022,5,20,100
bucketKNN,150186,5,50,100
bucketKNN,208698,5,100,100
bucketKNN,103932,5,1,1000
bucketKNN,208622,5,2,1000
bucketKNN,319597,5,5,1000
bucketKNN,441303,5,10,1000
bucketKNN,585346,5,20,1000
bucketKNN,787354,5,50,1000
bucketKNN,1081033,5,100,1000
bucketKNN,1007252,5,1,10000
bucketKNN,2034131,5,2,10000
bucketKNN,3076099,5,5,10000
bucketKNN,4139554,5,10,10000
bucketKNN,5265755,5,20,10000
bucketKNN,6594508,5,50,10000
bucketKNN,8196663,5,100,10000
bucketKNN,6295035,5,1,100000
bucketKNN,12658966,5,2,100000
bucketKNN,19058289,5,5,100000
bucketKNN,25487791,5,10,100000
bucketKNN,32000990,5,20,100000
bucketKNN,38745236,5,50,100000
bucketKNN,45882758,5,100,100000
bucketKNN,14462,6,1,100
bucketKNN,29559,6,2,100
bucketKNN,47605,6,5,100
bucketKNN,73113,6,10,100
bucketKNN,108568,6,20,100
bucketKNN,161244,6,50,100
bucketKNN,223354,6,100,100
bucketKNN,108119,6,1,1000
bucketKNN,216965,6,2,1000
bucketKNN,332933,6,5,1000
bucketKNN,459693,6,10,1000
bucketKNN,610677,6,20,1000
bucketKNN,825135,6,50,1000
bucketKNN,1135048,6,100,1000
bucketKNN,1029751,6,1,10000
bucketKNN,2078029,6,2,10000
bucketKNN,3145162,6,5,10000
bucketKNN,4232385,6,10,10000
bucketKNN,5370895,6,20,10000
bucketKNN,6689875,6,50,10000
bucketKNN,8248331,6,100,10000
bucketKNN,8384375,6,1,100000
bucketKNN,16755508,6,2,100000
bucketKNN,25158809,6,5,100000
bucketKNN,33564174,6,10,100000
bucketKNN,42090423,6,20,100000
bucketKNN,50903530,6,50,100000
bucketKNN,60123675,6,100,100000
bucketKNN,14730,7,1,100
bucketKNN,30236,7,2,100
bucketKNN,50101,7,5,100
bucketKNN,75583,7,10,100
bucketKNN,110832,7,20,100
bucketKNN,169010,7,50,100
bucketKNN,233763,7,100,100
bucketKNN,110651,7,1,1000
bucketKNN,222519,7,2,1000
bucketKNN,342603,7,5,1000
bucketKNN,474724,7,10,1000
bucketKNN,632551,7,20,1000
bucketKNN,855737,7,50,1000
