data_structure,time,D,k,N
bucketKNN,2460099,6,5,100000
bucketKNN,3295369,6,10,100000
bucketKNN,4148249,6,20,100000
bucketKNN,5041270,6,50,100000
bucketKNN,5982842,6,100,100000
bucketKNN,10904,7,1,100
bucketKNN,20097,7,2,100
bucketKNN,32515,7,5,100
bucketKNN,48275,7,10,100
bucketKNN,70035,7,20,100
bucketKNN,120181,7,50,100
bucketKNN,212158,7,100,100
bucketKNN,66342,7,1,1000
bucketKNN,133121,7,2,1000
bucketKNN,205725,7,5,1000
bucketKNN,286600,7,10,1000
bucketKNN,384112,7,20,1000
bucketKNN,524444,7,50,1000
bucketKNN,719302,7,100,1000
bucketKNN,385319,7,1,10000
bucketKNN,771166,7,2,10000
bucketKNN,1163392,7,5,10000
bucketKNN,1566024,7,10,10000
bucketKNN,1983838,7,20,10000
bucketKNN,2504094,7,50,10000
bucketKNN,3226228,7,100,10000
bucketKNN,3615600,7,1,100000
bucketKNN,7240419,7,2,100000
bucketKNN,10869230,7,5,100000
bucketKNN,14513216,7,10,100000
bucketKNN,18179508,7,20,100000
bucketKNN,21913325,7,50,100000
bucketKNN,25747672,7,100,100000
quadTree,6354,2,1,100
quadTree,13670,2,2,100
quadTree,26199,2,5,100
quadTree,43896,2,10,100
quadTree,67967,2,20,100
quadTree,105435,2,50,100
quadTree,150859,2,100,100
quadTree,67162,2,1,1000
quadTree,138266,2,2,1000
quadTree,227822,2,5,1000
quadTree,335960,2,10,1000
quadTree,471182,2,20,1000
quadTree,657978,2,50,1000
quadTree,905444,2,100,1000
quadTree,657109,2,1,10000
quadTree,1328532,2,2,10000
quadTree,2078487,2,5,10000
quadTree,2913303,2,10,10000
quadTree,3879808,2,20,10000
quadTree,5108428,2,50,10000
quadTree,6634876,2,100,10000
quadTree,6385232,2,1,100000
quadTree,12831529,2,2,100000
quadTree,19528883,2,5,100000
quadTree,26506558,2,10,100000
quadTree,33934437,2,20,100000
quadTree,42310362,2,50,100000
quadTree,51834592,2,100,100000
kdTree,1262,1,1,100
kdTree,3903,1,2,100
kdTree,20537,1,5,100
kdTree,40446,1,10,100
kdTree,63766,1,20,100
kdTree,95684,1,50,100
kdTree,141132,1,100,100
kdTree,1620,1,1,1000
kdTree,6703,1,2,1000
kdTree,116161,1,5,1000
kdTree,316219,1,10,1000
kdTree,539310,1,20,1000
kdTree,800052,1,50,1000
kdTree,1096801,1,100,1000
kdTree,2240,1,1,10000
kdTree,10747,1,2,10000
kdTree,440485,1,5,10000
kdTree,2398534,1,10,10000
kdTree,4611021,1,20,10000
kdTree,7153835,1,50,10000
kdTree,9985588,1,100,10000
kdTree,2721,1,1,100000
kdTree,15814,1,2,100000
kdTree,1388186,1,5,100000
kdTree,18193717,1,10,100000
kdTree,40011306,1,20,100000
kdTree,64832227,1,50,100000
kdTree,92463033,1,100,100000
kdTree,2962,2,1,100
kdTree,7942,2,2,100
kdTree,20305,2,5,100
kdTree,38988,2,10,100
kdTree,64313,2,20,100
kdTree,102291,2,50,100
kdTree,147856,2,100,100
kdTree,9886,2,1,1000
kdTree,25923,2,2,1000
kdTree,70492,2,5,1000
kdTree,148563,2,10,1000
kdTree,269184,2,20,1000
kdTree,461171,2,50,1000
kdTree,728411,2,100,1000
kdTree,17997,2,1,10000
kdTree,59080,2,2,10000
kdTree,210561,2,5,10000
kdTree,487006,2,10,10000
kdTree,941679,2,20,10000
kdTree,1718784,2,50,10000
kdTree,2853599,2,100,10000
kdTree,37908,2,1,100000
kdTree,130351,2,2,100000
kdTree,526454,2,5,100000
kdTree,1325427,2,10,100000
kdTree,2707765,2,20,100000
kdTree,5187797,2,50,100000
kdTree,8937337,2,100,100000
kdTree,4283,3,1,100
kdTree,10067,3,2,100
kdTree,21456,3,5,100
kdTree,38513,3,10,100
kdTree,64995,3,20,100
kdTree,105910,3,50,100
kdTree,156009,3,100,100
kdTree,12936,3,1,1000
kdTree,32781,3,2,1000
kdTree,74695,3,5,1000
kdTree,140701,3,10,1000
kdTree,244335,3,20,1000
kdTree,420799,3,50,1000
kdTree,688451,3,100,1000
kdTree,26518,3,1,10000
kdTree,70336,3,2,10000
kdTree,174228,3,5,10000
kdTree,348790,3,10,10000
kdTree,631468,3,20,10000
kdTree,1145633,3,50,10000
kdTree,1946316,3,100,10000
kdTree,60116,3,1,100000
kdTree,168689,3,2,100000
kdTree,425604,3,5,100000
kdTree,869032,3,10,100000
kdTree,1609992,3,20,100000
kdTree,2983534,3,50,100000
kdTree,5187058,3,100,100000
kdTree,5544,4,1,100
kdTree,12603,4,2,100
kdTree,25622,4,5,100
kdTree,45264,4,10,100
kdTree,75575,4,20,100
kdTree,124375,4,50,100
kdTree,183932,4,100,100
kdTree,17252,4,1,1000
kdTree,40629,4,2,1000
kdTree,82779,4,5,1000
kdTree,148786,4,10,1000
kdTree,251713,4,20,1000
kdTree,432996,4,50,1000
kdTree,723697,4,100,1000
kdTree,47240,4,1,10000
kdTree,116520,4,2,10000
kdTree,237949,4,5,10000
kdTree,424296,4,10,10000
kdTree,717104,4,20,10000
kdTree,1240293,4,50,10000
kdTree,2063055,4,100,10000
kdTree,102270,4,1,100000
kdTree,251789,4,2,100000
kdTree,526450,4,5,100000
kdTree,954310,4,10,100000
kdTree,1633663,4,20,100000
kdTree,2878361,4,50,100000
kdTree,4873976,4,100,100000
kdTree,6910,5,1,100
kdTree,15372,5,2,100
kdTree,29583,5,5,100
kdTree,49218,5,10,100
kdTree,78277,5,20,100
kdTree,123383,5,50,100
kdTree,175588,5,100,100
kdTree,23459,5,1,1000
kdTree,54090,5,2,1000
kdTree,102914,5,5,1000
kdTree,173927,5,10,1000
kdTree,281424,5,20,1000
kdTree,469592,5,50,1000
kdTree,757271,5,100,1000
kdTree,56315,5,1,10000
kdTree,136188,5,2,10000
kdTree,264883,5,5,10000
kdTree,447571,5,10,10000
kdTree,720749,5,20,10000
kdTree,1195821,5,50,10000
kdTree,1933665,5,100,10000
kdTree,113879,5,1,100000
kdTree,281960,5,2,100000
kdTree,556140,5,5,100000
kdTree,952034,5,10,100000
kdTree,1550789,5,20,100000
kdTree,2587159,5,50,100000
kdTree,4227735,5,100,100000
kdTree,7826,6,1,100
kdTree,17428,6,2,100
kdTree,32014,6,5,100
kdTree,52129,6,10,100
kdTree,81277,6,20,100
kdTree,128439,6,50,100
kdTree,183665,6,100,100
kdTree,30979,6,1,1000
kdTree,71744,6,2,1000
kdTree,134969,6,5,1000
kdTree,223662,6,10,1000
kdTree,351801,6,20,1000
kdTree,564166,6,50,1000
kdTree,881841,6,100,1000
kdTree,74410,6,1,10000
kdTree,175579,6,2,10000
kdTree,327471,6,5,10000
kdTree,536135,6,10,10000
kdTree,837323,6,20,10000
kdTree,1344942,6,50,10000
kdTree,2119050,6,100,10000
kdTree,167835,6,1,100000
kdTree,407764,6,2,100000
kdTree,779982,6,5,100000
kdTree,1291388,6,10,100000
kdTree,2027425,6,20,100000
kdTree,3239490,6,50,100000
kdTree,5083904,6,100,100000
kdTree,9193,7,1,100
kdTree,19714,7,2,100
kdTree,35447,7,5,100
kdTree,56286,7,10,100
kdTree,85547,7,20,100
kdTree,133000,7,50,100
kdTree,188036,7,100,100
kdTree,42863,7,1,1000
kdTree,97689,7,2,1000
kdTree,177383,7,5,1000
kdTree,283747,7,10,1000
kdTree,429228,7,20,1000
kdTree,654717,7,50,1000
kdTree,978721,7,100,1000
kdTree,111813,7,1,10000
kdTree,256487,7,2,10000
kdTree,464793,7,5,10000
kdTree,743984,7,10,10000
kdTree,1133421,7,20,10000
kdTree,1765155,7,50,10000
kdTree,2699396,7,100,10000
kdTree,288460,7,1,100000
kdTree,666409,7,2,100000
kdTree,1207619,7,5,100000
kdTree,1921023,7,10,100000
kdTree,2886861,7,20,100000
kdTree,4400619,7,50,100000
kdTree,6606411,7,100,100000
